Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS199,COMPUTING RESEARCH,CSS,2017,WIN,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13257', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '40', in original."
CSS199,COMPUTING RESEARCH,CSS,2017,WIN,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13258', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '1', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'CR_NC', in original."
CSS205,WOMEN STEM: COLLEGE ,CSS,2017,WIN,no_restriction,no_add_code,13259,A,1,-,M,330-420,UW1,041,"Kool, Nancy L",Open,14,15,CR_NC,-,J
CSS211,COMPUTERS & SOCIETY ,CSS,2017,WIN,no_restriction,no_add_code,13260,A,5,-,MW,330-530,UW1,261,"Anderson, Laurie Joy",Open,24,30,-,$6,-
CSS295,K12 COMPUTING EDU,CSS,2017,WIN,no_restriction,no_add_code,13261,A,2,-,T,330-530,DISC,165B,"Retik, Arieh A",Open,11,15,CR_NC,-,S
CSS301,TECHNICAL WRITING,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,115-315,UW2,005,"Kool, Nancy L",Open,28,30,-,$6,W
CSS301,TECHNICAL WRITING,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '060', in original. Note: couldn't interpret 'KOOL,NANCY', in original. Note: couldn't interpret 'L', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$6', in original. Note: couldn't interpret 'W', in original."
CSS301,TECHNICAL WRITING,CSS,2017,WIN,Restr,no_add_code,-,C,5,-,MW,845-1045,UW2,240,"Anderson, Laurie Joy",Closed,30,30,-,$6,W
CSS332,PROG W/OO LANGS,CSS,2017,WIN,Restr,no_add_code,-,A,2,-,F,115-515,UW1,020,"Stiber, Michael D",Open,20,45,CR_NC,-,-
CSS337,SECURE SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '031', in original. Note: couldn't interpret 'LEBLANC,DAVID', in original. Note: couldn't interpret 'C.', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$18', in original."
CSS342,"DATA, ALG, MATH I",CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,330-530,UW2,240,"Olson, Clark F",Open,44,45,-,$13,-
CSS342,"DATA, ALG, MATH I",CSS,2017,WIN,Restr,no_add_code,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '162', in original. Note: couldn't interpret 'OLSON,CLARK', in original. Note: couldn't interpret 'F', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '34', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$13', in original."
CSS343,"DATA, ALG, MATH II",CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '252', in original. Note: couldn't interpret 'STIBER,MICHAEL', in original. Note: couldn't interpret 'D', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '26', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '$13', in original."
CSS343,"DATA, ALG, MATH II",CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,330-535,UW2,141,"Parsons, Erika F.",Open,29,48,-,$13,-
CSS343,"DATA, ALG, MATH II",CSS,2017,WIN,Restr,no_add_code,-,C,5,-,MW,330-530,UW1,220,"Chen, Min",Closed,48,48,-,$13,-
CSS350,MGT PRINCIPLES,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '252', in original. Note: couldn't interpret 'KIM,JEFFREY', in original. Note: couldn't interpret 'Y.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '35', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret '$9', in original."
CSS350,MGT PRINCIPLES,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,1100-100,UW1,221,"Zetlen, Bryan A",Open,39,40,-,$9,-
CSS350,MGT PRINCIPLES,CSS,2017,WIN,Restr,no_add_code,-,C,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '340', in original. Note: couldn't interpret 'ZETLEN,BRYAN', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '38', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret '$9', in original."
CSS360,SOFTWARE ENGR,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '041', in original. Note: couldn't interpret 'RETIK,ARIEH', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '50', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$9', in original."
CSS360,SOFTWARE ENGR,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,330-530,UW1,041,"Kim, Jeffrey Y.",Open,40,45,-,$9,-
CSS370,ANALYSIS AND DESIGN ,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,330-530,UW2,141,"Dupuis, Marc J",Open,24,48,-,$9,-
CSS370,ANALYSIS AND DESIGN ,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '040', in original. Note: couldn't interpret 'RAZMOV,VALENTIN', in original. Note: couldn't interpret 'N.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '29', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$9', in original."
CSS370,ANALYSIS AND DESIGN ,CSS,2017,WIN,Restr,no_add_code,-,C,5,-,MW,115-315,DISC,061,"Zetlen, Bryan A",Open,39,48,-,$9,-
CSS371,BUSINESS OF TECH,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '131', in original. Note: couldn't interpret 'HAMILTON,NICOLE', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '22', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '$6', in original. Note: couldn't interpret 'J', in original."
CSS405,WOMEN STEM: CAREER,CSS,2017,WIN,no_restriction,no_add_code,13282,A,1,-,M,330-420,UW1,041,"Kool, Nancy L",Open,5,15,CR_NC,-,J
CSS421,CMPT HW & O/S,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,330-530,UWBB,107G,"Anderson, Laurie Joy",Open,16,20,-,$6,-
CSS422,HARDWARE & COMP ORG ,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,-,330-530P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'PENG,YANG', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$13', in original."
CSS427,EMBEDDED SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UWBB Note: couldn't interpret '260', in original. Note: couldn't interpret 'FOLSOM,TYLER', in original. Note: couldn't interpret 'C.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '15', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '$47', in original."
CSS427,EMBEDDED SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,AA,-,LB,F,230-530,UW1,321,"Folsom, Tyler C.",Open,15,24,-,-,-
CSS430,OPERATING SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,330-530,UW1,051,"Dimpsey, Robert T",Open,44,45,-,$13,-
CSS432,COMPUTER NETWORKING ,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '020', in original. Note: couldn't interpret 'ARAVAZHI', in original. Note: couldn't interpret 'IRISSAPPANE,ATHI', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '$18', in original."
CSS451,3-D COMPUTER GRAPHIC,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,330-530,UWBB,230,"Kalmin, Lesley R",Open,12,45,-,$9,-
CSS475,DATABASE SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '005', in original. Note: couldn't interpret 'CHEN,MIN', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '47', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$13', in original."
CSS490,SPECIAL TOPICS,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'DIMPSEY,ROBERT', in original. Note: couldn't interpret 'T', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '28', in original. Note: couldn't interpret '30', in original."
CSS490,SPECIAL TOPICS,CSS,2017,WIN,Restr,no_add_code,-,D,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '211', in original. Note: couldn't interpret 'SUNG,KELVIN', in original. Note: couldn't interpret 'H.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '22', in original. Note: couldn't interpret '30', in original."
CSS490,SPECIAL TOPICS,CSS,2017,WIN,Restr,no_add_code,-,E,3,-,F,830-1120,UW1,220,"Erdly, William W",Open,7,12,-,-,J
CSS497,CS & SE CAPSTONE,CSS,2017,WIN,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13296', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-10', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '8', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'R', in original."
CSS497,CS & SE CAPSTONE,CSS,2017,WIN,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13297', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-10', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '52', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret 'R', in original."
CSS498,INDEPENDENT STUDY,CSS,2017,WIN,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13298', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '9', in original. Note: couldn't interpret '40', in original."
CSS498,INDEPENDENT STUDY,CSS,2017,WIN,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13299', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'CR_NC', in original."
CSS499,UNDERGRAD RESEARCH,CSS,2017,WIN,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13300', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '2', in original. Note: couldn't interpret '40', in original."
CSS499,UNDERGRAD RESEARCH,CSS,2017,WIN,no_restriction,no_add_code,-,IS,-,-,-,-,-,22662,B,-,-,-,-,-,"1-5 Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '2', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret 'CR_NC', in original."
CSS581,MACHINE LEARNING,CSS,2017,WIN,-,add_code_required,22291,B,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '305', in original. Note: couldn't interpret 'SI,DONG', in original. Note: couldn't interpret '5', in original. Note: couldn't interpret '5', in original. Note: couldn't interpret 'J', in original."
